,team_1,team_2,score,date,time,staduim,Year
879,Poland,Saudi Arabia,2–0,26-11-2022,16:00,"Education City Stadium, Al Rayyan",2022
880,Argentina,Mexico,2–0,26-11-2022,22:00,"Lusail Stadium, Lusail",2022
881,Poland,Argentina,0–2,30-11-2022,22:00,"Stadium 974, Doha",2022
882,Saudi Arabia,Mexico,1–2,30-11-2022,22:00,"Lusail Stadium, Lusail",2022
883,Denmark,Tunisia,0–0,22-11-2022,16:00,"Education City Stadium, Al Rayyan",2022
884,France,Australia,4–1,22-11-2022,22:00,"Al Janoub Stadium, Al Wakrah",2022
885,Tunisia,Australia,0–1,26-11-2022,13:00,"Al Janoub Stadium, Al Wakrah",2022
886,France,Denmark,2–1,26-11-2022,19:00,"Stadium 974, Doha",2022
887,Australia,Denmark,1–0,30-11-2022,18:00,"Al Janoub Stadium, Al Wakrah",2022
888,Tunisia,France,1–0,30-11-2022,18:00,"Education City Stadium, Al Rayyan",2022
889,Germany,Japan,1–2,23-11-2022,16:00,"Khalifa International Stadium, Al Rayyan",2022
890,Spain,Costa Rica,7–0,23-11-2022,19:00,"Al Thumama Stadium, Doha",2022
891,Japan,Costa Rica,0–1,27-11-2022,13:00,"Ahmad bin Ali Stadium, Al Rayyan",2022
892,Spain,Germany,1–1,27-11-2022,22:00,"Al Bayt Stadium, Al Khor",2022
893,Japan,Spain,2–1,1-12-2022,22:00,"Khalifa International Stadium, Al Rayyan",2022
894,Costa Rica,Germany,2–4,1-12-2022,22:00,"Al Bayt Stadium, Al Khor",2022
895,Morocco,Croatia,0–0,23-11-2022,13:00,"Al Bayt Stadium, Al Khor",2022
896,Belgium,Canada,1–0,23-11-2022,22:00,"Ahmad bin Ali Stadium, Al Rayyan",2022
897,Belgium,Morocco,0–2,27-11-2022,16:00,"Al Thumama Stadium, Doha",2022
898,Croatia,Canada,4–1,27-11-2022,19:00,"Khalifa International Stadium, Al Rayyan",2022
899,Croatia,Belgium,0–0,1-12-2022,18:00,"Ahmad bin Ali Stadium, Al Rayyan",2022
900,Canada,Morocco,1–2,1-12-2022,18:00,"Al Thumama Stadium, Doha",2022
901,Switzerland,Cameroon,1–0,24-11-2022,13:00,"Al Janoub Stadium, Al Wakrah",2022
902,Brazil,Serbia,2–0,24-11-2022,22:00,"Lusail Stadium, Lusail",2022
903,Cameroon,Serbia,3–3,28-11-2022,13:00,"Al Janoub Stadium, Al Wakrah",2022
904,Brazil,Switzerland,1–0,28-11-2022,19:00,"Stadium 974, Doha",2022
905,Serbia,Switzerland,2–3,2-12-2022,22:00,"Stadium 974, Doha",2022
906,Cameroon,Brazil,1–0,2-12-2022,22:00,"Lusail Stadium, Lusail",2022
907,Uruguay,South Korea,0–0,24-11-2022,16:00,"Education City Stadium, Al Rayyan",2022
908,Portugal,Ghana,3–2,24-11-2022,19:00,"Stadium 974, Doha",2022
909,South Korea,Ghana,2–3,28-11-2022,16:00,"Education City Stadium, Al Rayyan",2022
910,Portugal,Uruguay,2–0,28-11-2022,22:00,"Lusail Stadium, Lusail",2022
911,Ghana,Uruguay,0–2,2-12-2022,18:00,"Al Janoub Stadium, Al Wakrah",2022
912,South Korea,Portugal,2–1,2-12-2022,18:00,"Education City Stadium, Al Rayyan",2022
913,Netherlands,United States,3–1,3-12-2022,18:00,"Khalifa International Stadium, Al Rayyan",2022
914,Argentina,Australia,2–1,3-12-2022,22:00,"Ahmad bin Ali Stadium, Al Rayyan",2022
915,France,Poland,3–1,4-12-2022,18:00,"Al Thumama Stadium, Doha",2022
916,England,Senegal,3–0,4-12-2022,22:00,"Al Bayt Stadium, Al Khor",2022
917,Japan,Croatia,1–1 P,5-12-2022,18:00,"Al Janoub Stadium, Al Wakrah",2022
918,Brazil,South Korea,4–1,5-12-2022,22:00,"Stadium 974, Doha",2022
919,Morocco,Spain,0–0 P,6-12-2022,18:00,"Education City Stadium, Al Rayyan",2022
920,Portugal,Switzerland,6–1,6-12-2022,22:00,"Lusail Stadium, Lusail",2022
921,Croatia,Brazil,1–1 P,9-12-2022,18:00,"Education City Stadium, Al Rayyan",2022
922,Netherlands,Argentina,2–2 P,9-12-2022,22:00,"Lusail Stadium, Lusail",2022
923,Morocco,Portugal,1–0,10-12-2022,18:00,"Al Thumama Stadium, Doha",2022
924,England,France,1–2,10-12-2022,22:00,"Al Bayt Stadium, Al Khor",2022
925,Argentina,Croatia,3–0,13-12-2022,22:00,"Lusail Stadium, Lusail",2022
926,France,Morocco,2–0,14-12-2022,22:00,"Al Bayt Stadium, Al Khor",2022
927,Croatia,Morocco,2–1,17-12-2022,18:00,"Khalifa International Stadium, Al Rayyan",2022
928,Argentina,France,3–3 P,18-12-2022,18:00,"Lusail Stadium, Lusail",2022
